"","gene_id","seqnames","l2fc","qval","sex"
"1","FBgn0013165","2R",-0.834037038295911,0.00585178511711167,"f"
"2","FBgn0015691","X",0.389139108860235,0.0257069563793766,"m"
"3","FBgn0022816","X",-0.155417490246142,0.00466190745873226,"f"
"4","FBgn0022818","X",-0.880165785506858,0.00309096400596118,"f"
"5","FBgn0028749","X",-4.41173858974316,6.42343264752968e-11,"f"
"6","FBgn0041638","X",0.487350456878966,4.24843434105754e-06,"m"
"7","FBgn0042724","X",0.986330282128853,0.000320610034299293,"m"
"8","FBgn0043389","3R",-1.33146219622955,1.15059546165131e-32,"f"
"9","FBgn0043598","X",-0.352058733845853,0.000249224041816413,"f"
"10","FBgn0043603","X",0.544880114176172,2.96414034929884e-23,"m"
"11","FBgn0044136","2R",-0.759241570267426,0.000856070721255161,"f"
"12","FBgn0046713","X",1.30045100376104,1.34752284504913e-20,"m"
"13","FBgn0066138","X",0.185663982218301,0.00488579176811491,"m"
"14","FBgn0067423","3R",-0.114779932128233,0.0226562174111279,"f"
"15","FBgn0067425","3R",-0.344742529523923,0.019059845624887,"f"
"16","FBgn0067439","2L",-1.1020612637547,3.07770416260202e-05,"f"
"17","FBgn0067442","X",-0.734552609932134,0.0241252934041291,"f"
"18","FBgn0067449","X",1.40344373897057,5.37661800198849e-57,"m"
"19","FBgn0067930","X",0.213852825138903,0.00406798613347777,"m"
"20","FBgn0067951","3L",-0.494952347786293,0.00280878128870502,"f"
"21","FBgn0067969","3L",0.239474391058541,0.049344681984716,"m"
"22","FBgn0067973","X",0.503309630723098,1.06462238561291e-07,"m"
"23","FBgn0067987","2L",-0.217838010907267,0.000752240833053676,"f"
"24","FBgn0068009","2L",-0.206624330014818,0.0228504100816332,"f"
"25","FBgn0068031","X",-0.947217279746365,0.000264986324195691,"f"
"26","FBgn0068032","2R",0.292833881016817,0.0160510849756136,"m"
"27","FBgn0068086","3R",-0.286087576355071,0.0317061639293589,"f"
"28","FBgn0068090","3R",0.195938828436871,0.00742372323698051,"m"
